,hidden_units: 400,training_set: 35000,validation_set: 10000,testing_set: 10000,,hidden_units: 100,training_set: 140000,validation_set: 20000,testing_set: 10000,,hidden_units: 200,training_set: 70000,validation_set: 20000,testing_set: 10000,,hidden_units: 100,training_set: 70000,validation_set: 20000,testing_set: 10000
,,,,,,,,,,,,,,,,,,,
,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,
,,,,,,,,,,,,,,,,,,,
,0.085,0.0896,0.086171867,,,0.0855,0.0856,0.019305761,,,0.08555,0.089,0.04541724,,,0.08555,0.0853,0.040683089,
,0.0869,0.088,0.084173345,,,0.0869,0.0843,0.02009871,,,0.0852,0.0868,0.048513877,,,0.08625,0.0872,0.028864012,
,0.0881,0.084,0.086517782,,,0.08515,0.0866,0.101316078,,,0.0854,0.0811,0.04863703,,,0.08655,0.0861,0.031491882,
,0.0883,0.0862,0.094456027,,,0.08665,0.0834,0.030018271,,,0.08525,0.0845,0.043700944,,,0.08565,0.0867,0.026555495,
,0.0834,0.0867,0.087960907,,,0.0876,0.0838,0.018482023,,,0.08635,0.0829,0.042744395,,,0.08515,0.0864,0.026870622,
,0.0858,0.0878,0.073984236,,,0.08635,0.0859,0.07994207,,,0.08755,0.0855,0.043536438,,,0.08545,0.0877,0.029493059,
,0.0858,0.0844,0.087823869,,,0.0869,0.0878,0.018258657,,,0.0874,0.0874,0.051920208,,,0.0852,0.0857,0.028650305,
,0.0847,0.0844,0.084929167,,,0.08525,0.0842,0.023170293,,,0.08545,0.0842,0.044265396,,,0.0856,0.0809,0.029143823,
,0.088,0.0836,0.075004475,,,0.08765,0.0872,0.035054267,,,0.08665,0.0879,0.061015126,,,0.0855,0.0844,0.026800896,
,0.0856,0.0896,0.093098324,,,0.0867,0.0866,0.027289584,,,0.0858,0.0869,0.058074845,,,0.08585,0.0843,0.02850391,
,0.0874,0.0868,0.089703765,,,0.08605,0.0877,0.029402807,,,0.08635,0.0836,0.048686533,,,0.08655,0.0881,0.02618513,
,0.0856,0.0852,0.098064896,,,0.08585,0.0862,0.024541277,,,0.0877,0.0858,0.054800119,,,0.0869,0.0884,0.029573048,
,0.0844,0.0863,0.089945846,,,0.0871,0.0877,0.028825376,,,0.0868,0.0886,0.048798216,,,0.0856,0.0857,0.027259399,
,0.0836,0.0879,0.090276065,,,0.0861,0.0851,0.023340534,,,0.08675,0.082,0.04648336,,,0.0859,0.0867,0.03122988,
,0.0878,0.0859,0.081376441,,,0.086,0.0837,0.019097789,,,0.08515,0.0841,0.048383178,,,0.08645,0.0853,0.027260003,
,0.0837,0.0855,0.067040573,,,0.08665,0.0831,0.017985788,,,0.0871,0.0847,0.045195685,,,0.0861,0.0857,0.027001321,
,0.0857,0.0827,0.077670378,,,0.0863,0.0864,0.017809812,,,0.0868,0.0856,0.051634661,,,0.0857,0.0844,0.026470072,
,0.0871,0.0858,0.074245332,,,0.08665,0.0869,0.019227582,,,0.08625,0.0837,0.051983897,,,0.0858,0.0872,0.02748518,
,0.0848,0.0842,0.07552697,,,0.08635,0.0884,0.018163878,,,0.0858,0.0864,0.051220529,,,0.08595,0.0812,0.026527725,
,0.0839,0.0862,0.100542447,,,0.08545,0.0881,0.015533894,,,0.0857,0.0872,0.045628532,,,0.08685,0.0866,0.026508105,
,0.0839,0.0869,0.087758369,,,0.08665,0.0879,0.015515482,,,0.08775,0.085,0.053072655,,,0.08505,0.0842,0.028230438,
,0.0854,0.0874,0.085348733,,,0.0848,0.0851,0.017930249,,,0.08575,0.087,0.050564618,,,0.08655,0.084,0.026877866,
,0.0897,0.0845,0.088907496,,,0.08825,0.0891,0.018194666,,,0.08675,0.0879,0.047134743,,,0.08565,0.0826,0.028844694,
,0.084,0.0868,0.068332474,,,0.0863,0.0873,0.018682751,,,0.0865,0.0814,0.048789764,,,0.0863,0.0878,0.031467433,
,0.0896,0.0865,0.118156663,,,0.0852,0.0883,0.018947168,,,0.0879,0.0821,0.05281186,,,0.08815,0.086,0.028646079,
,0.0862,0.0899,0.080822252,,,0.0858,0.0837,0.017844525,,,0.08435,0.0838,0.053974873,,,0.0866,0.0874,0.056736762,
,0.0854,0.0825,0.078245092,,,0.0873,0.0878,0.019809843,,,0.08655,0.0863,0.064425682,,,0.0855,0.0848,0.027941269,
,0.0855,0.0846,0.075387819,,,0.086,0.0909,0.025111162,,,0.0861,0.0849,0.068853761,,,0.0867,0.0839,0.027092479,
,0.0844,0.0898,0.079664673,,,0.08635,0.0866,0.018619061,,,0.08555,0.0877,0.05962754,,,0.0853,0.0862,0.027417868,
,0.0924,0.0831,0.090650052,,,0.0868,0.0883,0.018955016,,,0.0862,0.091,0.064899279,,,0.08505,0.0841,0.027082518,
,0.0876,0.0833,0.112925674,,,0.08675,0.089,0.018260468,,,0.086,0.0857,0.055868352,,,0.0867,0.0893,0.032017396,
,0.0906,0.0905,0.118865398,,,0.0855,0.0863,0.018320234,,,0.085,0.0868,0.06706291,,,0.08605,0.0859,0.048141097,
